customer_id,company_code,anciennete_jour,age,flag_cible,segment,sexe,OPTIN_EMAIL,OPTIN_SMS,ca,marge,nb_tickets,recence_jours,ca_12mois,Emails_envoyes,Emails_ouverts,flag_actif,emails_recus_mois,flag_ouvreur
043310008357,Jules,98,33,1,SMS,Homme,0,1,,,,98,81.97,0,0,0,0,0
023710031485,Jules,98,17,0,SMS,Femme,0,1,,,,98,44.97,0,0,0,0,0
023710031490,Jules,98,22,1,SMS,Homme,,1,,,,98,67.98,0,0,0,0,0
060010935175,Jules,99,24,1,SMS,Femme,1,1,,,,90,0,0,0,0,0,0
033910012478,Jules,100,43,1,SMS,Homme,,1,,,,100,269.92,0,0,0,0,0
047310006569,Jules,100,22,0,SMS,Femme,,1,,,,100,29.99,0,0,0,0,0
030420013994,Jules,100,51,1,SMS,Homme,,1,,,,100,56,0,0,0,0,0
019610008477,Jules,101,36,1,SMS,Homme,,1,,,,101,60.98,0,0,0,0,0
044510016086,Jules,101,29,1,SMS,Homme,,1,,,,101,67,0,0,0,0,0
042810023438,Jules,101,39,0,SMS,Homme,,1,,,,101,54.98,0,0,0,0,0
036610020719,Jules,101,28,0,SMS,Homme,1,1,,,,101,13,0,0,0,0,0
006210037002,Jules,101,29,0,SMS,Homme,1,1,,,,101,78,0,0,0,0,0
046410026312,Jules,101,35,1,SMS,Homme,1,1,,,,101,49,0,0,0,0,0
000410029771,Jules,101,19,0,SMS,Homme,1,1,,,,101,52.78,0,0,0,0,0
032610043118,Jules,101,40,1,SMS,Homme,,1,,,,101,52,0,0,0,0,0
012310027346,Jules,101,72,1,SMS,Femme,0,1,,,,101,48.98,0,0,0,0,0
034010020975,Jules,101,61,1,SMS,Femme,,1,,,,101,56.78,0,0,0,0,0
032610043097,Jules,102,18,1,SMS,Homme,,1,,,,102,10,0,0,0,0,0
023410027270,Jules,102,25,1,SMS,Homme,0,1,,,,102,30,0,0,0,0,0
044510016071,Jules,102,72,1,SMS,Femme,,1,,,,102,59.98,0,0,0,0,0
038210023887,Jules,103,27,1,SMS,Homme,,1,,,,103,15.98,0,0,0,0,0
040910022593,Jules,103,47,1,SMS,Homme,,1,,,,103,84.77,0,0,0,0,0
034690000816,Jules,103,46,1,SMS,Homme,1,1,,,,,,0,0,0,0,0
022410019737,Jules,103,71,1,SMS,Femme,,1,,,,103,39.99,0,0,0,0,0
038010015691,Jules,103,37,1,SMS,Homme,1,1,,,,103,71.98,0,0,0,0,0
027410018997,Jules,105,30,1,SMS,Homme,1,1,,,,105,110,0,0,0,0,0
015210039330,Jules,105,15,0,SMS,Femme,0,1,,,,105,39.99,0,0,0,0,0
041310011722,Jules,105,17,1,SMS,Homme,,1,,,,105,40,0,0,0,0,0
072420000280,Jules,105,50,1,SMS,Homme,,1,,,,105,71.97,0,0,0,0,0
024510011786,Jules,106,29,0,SMS,Homme,,1,,,,106,39.99,0,0,0,0,0
019910010140,Jules,106,61,1,SMS,Femme,,1,,,,106,45,0,0,0,0,0
044710013802,Jules,106,21,1,SMS,Homme,0,1,,,,106,92,0,0,0,0,0
038010015670,Jules,106,25,1,SMS,Femme,0,1,,,,106,19.99,0,0,0,0,0
029510039640,Jules,106,24,1,SMS,Homme,0,1,,,,106,39.99,0,0,0,0,0
011910015348,Jules,106,46,1,SMS,Femme,0,1,,,,106,390.92,0,0,0,0,0
016720031018,Jules,106,28,1,SMS,Femme,0,1,,,,106,54.98,0,0,0,0,0
032511808394,Jules,107,53,1,SMS,Femme,0,1,,,,107,25.99,0,0,0,0,0
006310015126,Jules,107,18,1,SMS,Femme,0,1,,,,107,40,0,0,0,0,0
012030005929,Jules,107,,1,SMS,Femme,0,1,,,,107,195.97,0,0,0,0,0
038420001433,Jules,107,42,1,SMS,Homme,0,1,,,,107,44.98,0,0,0,0,0
035820013316,Jules,107,20,1,SMS,Homme,0,1,,,,107,29.99,0,0,0,0,0
016610035407,Jules,108,28,1,SMS,Homme,0,1,,,,108,19.99,0,0,0,0,0
024310032903,Jules,109,19,1,SMS,Homme,,1,,,,109,79.98,0,0,0,0,0
031220015276,Jules,109,,0,SMS,Homme,,1,,,,109,29.99,0,0,0,0,0
014110011119,Jules,109,19,1,SMS,Femme,0,0,,,,109,17.99,0,0,0,0,0
021120003238,Jules,109,69,0,SMS,Homme,0,1,,,,109,40,0,0,0,0,0
040610012033,Jules,109,44,1,SMS,Homme,,1,,,,109,39.99,0,0,0,0,0
039420002105,Jules,110,16,1,SMS,Homme,,1,,,,110,39.99,0,0,0,0,0
019510009771,Jules,110,66,1,SMS,Homme,,1,,,,110,133.96,0,0,0,0,0
019810036355,Jules,111,39,1,SMS,Homme,0,1,,,,111,54.98,0,0,0,0,0
047510007432,Jules,111,67,1,SMS,Homme,0,1,,,,111,54.94,0,0,0,0,0
042710019280,Jules,112,77,1,SMS,Femme,0,1,,,,102,50.98,0,0,0,0,0
039010015392,Jules,112,30,1,SMS,Homme,,1,,,,112,69.98,0,0,0,0,0
041610012113,Jules,113,30,1,SMS,Homme,,1,,,,113,87.97,0,0,0,0,0
000410029605,Jules,114,30,1,SMS,Femme,0,1,,,,114,49.99,0,0,0,0,0
044710013603,Jules,114,36,0,SMS,Homme,1,0,,,,114,68.97,0,0,0,0,0
024410013210,Jules,114,54,1,SMS,Homme,,1,,,,114,44.98,0,0,0,0,0
014710015444,Jules,114,44,1,SMS,Homme,0,1,,,,114,26,0,0,0,0,0
022210035574,Jules,114,41,1,SMS,Homme,0,1,,,,114,213.94,0,0,0,0,0
007020020807,Jules,115,64,1,SMS,Femme,1,1,,,,115,39.99,0,0,0,0,0
012010047617,Jules,115,21,0,SMS,Homme,0,1,,,,115,10,0,0,0,0,0
034010020857,Jules,116,47,1,SMS,Femme,0,1,,,,116,25.99,0,0,0,0,0
025010022216,Jules,116,48,1,SMS,Homme,1,1,,,,116,70,0,0,0,0,0
003610005742,Jules,116,23,1,SMS,Homme,1,1,,,,116,170,0,0,0,0,0
037410024552,Jules,117,43,1,SMS,Homme,1,1,,,,117,130,0,0,0,0,0
033710017691,Jules,118,,1,SMS,Homme,0,1,,,,117,44.98,0,0,0,0,0
034620024148,Jules,119,25,1,SMS,Homme,1,1,,,,119,36,0,0,0,0,0
049210006670,Jules,120,40,1,SMS,Femme,0,1,,,,120,32.97,0,0,0,0,0
016720030784,Jules,121,25,1,SMS,Homme,0,1,,,,121,0,0,0,0,0,0
043310008023,Jules,122,26,1,SMS,Femme,0,1,,,,122,44.98,0,0,0,0,0
001620024784,Jules,124,45,1,SMS,Homme,,1,,,,124,90.97,0,0,0,0,0
013510017900,Jules,125,50,0,SMS,Homme,1,1,,,,125,50,0,0,0,0,0
029510039268,Jules,126,51,1,SMS,Homme,,1,,,,126,179.99,0,0,0,0,0
040910022190,Jules,126,37,1,SMS,Homme,,1,,,,126,45.98,0,0,0,0,0
013010026268,Jules,127,29,1,SMS,Homme,,1,,,,127,44.98,0,0,0,0,0
029510039252,Jules,127,44,1,SMS,Homme,0,1,,,,127,49.99,0,0,0,0,0
043710009002,Jules,128,39,1,SMS,Homme,0,1,,,,128,50,0,0,0,0,0
049810002665,Jules,2077,34,1,SMS,Homme,1,1,,,,113,53.98,0,0,0,0,0
038310010745,Jules,98,22,0,SMS,Homme,0,1,,,,98,60.98,0,0,0,0,0
022910019042,Jules,98,21,1,SMS,Homme,,1,,,,98,26,0,0,0,0,0
049210007168,Jules,99,34,0,SMS,Homme,1,1,,,,99,53.98,0,0,0,0,0
009710013855,Jules,99,24,1,SMS,Femme,1,1,,,,99,27.99,0,0,0,0,0
022210035788,Jules,99,54,1,SMS,Homme,,1,,,,99,23,0,0,0,0,0
018010039337,Jules,100,38,1,SMS,Femme,,1,,,,100,45,0,0,0,0,0
049710005056,Jules,100,63,1,SMS,Femme,,1,,,,7,76.76,0,0,0,0,0
031910010923,Jules,100,64,1,SMS,Homme,,1,,,,100,39.99,0,0,0,0,0
002510010146,Jules,101,24,1,SMS,Femme,,1,,,,101,30,0,0,0,0,0
044310002726,Jules,101,17,1,SMS,Homme,1,1,,,,101,21,0,0,0,0,0
